"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000163565.20",532.154196246692,-4.73770458143679,0.342755600137942,-13.8223987573948,1.86741730393415e-43,3.48982945759214e-39,"IFI16","3428"
"ENSG00000198788.9",5304.64441711062,-6.08694906527839,0.450695552614172,-13.5056781234521,1.44774518708516e-41,1.35277310281238e-37,"MUC2","4583"
"ENSG00000152661.9",544.767621739113,-6.41161592341357,0.485259765345418,-13.2127499151916,7.40682299859067e-40,4.61395693992208e-36,"GJA1","2697"
"ENSG00000165092.13",860.386000122368,-4.59136696414929,0.363472853677671,-12.6319391329866,1.40765990613153e-36,6.57658708144649e-33,"ALDH1A1","216"
"ENSG00000132821.12",1313.74607492774,-6.30785949445867,0.505160809083,-12.4868346495626,8.80890875984383e-36,3.29241773807923e-32,"VSTM2L","128434"
"ENSG00000133636.11",1927.56080766691,-5.18325096047854,0.417728329980594,-12.4081863461818,2.35936715318116e-35,7.34864222644157e-32,"NTS","4922"
"ENSG00000166741.8",411.250371733585,-6.54208141162364,0.555253062798688,-11.7821617743971,4.8239767782987e-32,1.2878639718978e-28,"NNMT","4837"
"ENSG00000243709.1",840.176630447707,-5.57901209777797,0.487282641070689,-11.4492321859022,2.37237507766931e-30,5.54186818143551e-27,"LEFTY1","10637"
"ENSG00000161798.7",201.201471087599,-5.26693882615416,0.468234143316386,-11.2485150887326,2.35523717521553e-29,4.89051914782531e-26,"AQP5","362"
"ENSG00000111846.20",158.515512062956,-5.48690681239152,0.527261815243853,-10.4064179384086,2.31779426591452e-25,4.33149392414105e-22,"GCNT2","2651"
"ENSG00000253500.6",398.905822762673,4.72839128806476,0.462328440479452,10.2273424562877,1.49567452506219e-24,2.54101504766929e-21,NA,NA
"ENSG00000136231.14",245.208376300368,-4.78946789293691,0.471335802446695,-10.161476951411,2.94579712773885e-24,4.5875880602653e-21,"IGF2BP3","10643"
"ENSG00000092969.12",136.016318493009,-5.81819625612538,0.58954324118386,-9.86898983769515,5.67330536935825e-23,8.15559467250515e-20,"TGFB2","7042"
"ENSG00000168461.13",258.695060152846,-5.73781947717549,0.592601918041105,-9.68241799848089,3.58143532205061e-22,4.78070452132012e-19,"RAB31","11031"
"ENSG00000125848.10",136.385726697243,-5.93659828617013,0.624673684179654,-9.50351909568002,2.02914526928931e-21,2.45853644185241e-18,"FLRT3","23767"
