"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000000003.15",329,340,425,656,511,461
"ENSG00000000005.6",0,0,0,0,1,2
"ENSG00000000419.14",1556,1843,1735,1480,1638,1811
"ENSG00000000457.14",218,224,254,256,251,284
"ENSG00000000460.17",58,123,167,151,170,162
"ENSG00000000938.13",2,1,1,2,6,1
"ENSG00000000971.16",107,125,204,818,839,319
"ENSG00000001036.14",1965,2034,2484,3533,2907,1811
"ENSG00000001084.13",2415,2475,2861,1940,2064,2668
"ENSG00000001167.15",535,719,905,875,838,796
"ENSG00000001460.18",41,58,51,162,75,37
"ENSG00000001461.17",323,317,346,612,343,249
"ENSG00000001497.18",396,284,387,965,585,310
"ENSG00000001561.7",1180,1027,932,452,825,1580
"ENSG00000001617.12",27,46,22,171,62,90
"ENSG00000001626.17",246,111,110,125,278,143
"ENSG00000001629.10",973,1445,1466,895,938,1493
"ENSG00000001630.18",3337,4357,4472,4826,4444,3877
"ENSG00000001631.17",536,642,732,411,764,794
"ENSG00000002016.18",55,73,79,65,91,111
"ENSG00000002079.14",0,3,4,2,1,2
"ENSG00000002330.14",822,645,579,698,609,534
"ENSG00000002549.13",1676,2104,1983,2867,3507,3345
"ENSG00000002586.20",1429,1359,1687,3318,1636,1370
"ENSG00000002587.10",400,325,445,807,526,901
"ENSG00000002726.21",20,7,14,18,6,15
"ENSG00000002745.13",126,87,104,30,112,51
"ENSG00000002746.15",1,1,1,1,1,5
"ENSG00000002822.16",152,150,125,459,220,143
"ENSG00000002834.18",4295,2978,2701,7263,4463,2508
"ENSG00000002919.15",365,292,324,478,572,288
"ENSG00000002933.9",27,19,29,35,31,34
"ENSG00000003056.8",1431,1530,1424,2992,1924,1273
"ENSG00000003096.14",35,19,39,37,71,148
"ENSG00000003137.9",2,8,4,3,1,29
"ENSG00000003147.19",917,691,818,1063,874,692
"ENSG00000003249.15",654,473,475,1107,687,327
"ENSG00000003393.16",467,422,404,476,552,494
"ENSG00000003400.15",218,163,186,233,248,172
"ENSG00000003402.21",1249,1001,1009,1264,1122,905
"ENSG00000003436.16",455,1445,1247,2009,2096,2151
